time,latitude,longitude,max_wind_kt
2025-09-24 12:00:00,19.1,-53.6,35
2025-09-24 15:00:00,19.5,-54.0,35
2025-09-24 18:00:00,19.8,-54.5,35
2025-09-24 21:00:00,20.1,-55.0,38
2025-09-25 00:00:00,20.4,-55.4,40
2025-09-25 03:00:00,20.7,-55.8,43
2025-09-25 06:00:00,20.9,-56.2,45
2025-09-25 09:00:00,21.1,-56.4,48
2025-09-25 12:00:00,21.3,-56.5,50
2025-09-25 15:00:00,21.4,-56.6,53
2025-09-25 18:00:00,21.5,-56.7,55
2025-09-25 21:00:00,21.6,-56.8,58
2025-09-26 00:00:00,21.7,-56.9,60
2025-09-26 03:00:00,21.8,-56.9,65
2025-09-26 06:00:00,21.9,-57.0,70
2025-09-26 09:00:00,22.0,-57.2,75
2025-09-26 12:00:00,22.1,-57.4,80
2025-09-26 15:00:00,22.2,-57.6,88
2025-09-26 18:00:00,22.2,-57.8,95
2025-09-26 21:00:00,22.2,-58.1,105
2025-09-27 00:00:00,22.1,-58.4,115
2025-09-27 03:00:00,22.1,-58.6,120
2025-09-27 06:00:00,22.2,-58.9,125
2025-09-27 09:00:00,22.3,-59.3,128
2025-09-27 12:00:00,22.5,-59.7,130
2025-09-27 15:00:00,22.6,-60.2,135
2025-09-27 18:00:00,22.7,-60.7,140
2025-09-27 21:00:00,22.9,-61.1,140
2025-09-28 00:00:00,23.1,-61.6,140
2025-09-28 03:00:00,23.4,-62.1,138
2025-09-28 06:00:00,23.7,-62.7,135
2025-09-28 09:00:00,23.9,-63.3,130
2025-09-28 12:00:00,24.2,-63.8,125
2025-09-28 15:00:00,24.6,-64.3,125
2025-09-28 18:00:00,25.1,-64.8,125
2025-09-28 21:00:00,25.4,-65.3,123
2025-09-29 00:00:00,25.8,-65.8,120
2025-09-29 03:00:00,26.2,-66.2,120
2025-09-29 06:00:00,26.7,-66.6,120
2025-09-29 09:00:00,27.1,-67.0,123
2025-09-29 12:00:00,27.5,-67.3,125
2025-09-29 15:00:00,28.0,-67.6,120
2025-09-29 18:00:00,28.5,-67.9,115
2025-09-29 21:00:00,29.0,-68.2,108
2025-09-30 00:00:00,29.5,-68.6,100
2025-09-30 03:00:00,30.2,-69.0,95
2025-09-30 06:00:00,31.0,-69.4,90
2025-09-30 09:00:00,31.8,-69.7,80
2025-09-30 12:00:00,32.5,-69.8,70
2025-09-30 15:00:00,33.0,-69.9,70
2025-09-30 18:00:00,33.5,-69.9,70
2025-09-30 21:00:00,34.0,-69.6,70
2025-10-01 00:00:00,34.6,-69.0,70
2025-10-01 03:00:00,35.2,-68.3,70
2025-10-01 06:00:00,35.7,-67.5,70
2025-10-01 09:00:00,36.0,-66.5,68
2025-10-01 12:00:00,36.1,-65.5,65
