time,latitude,longitude,max_wind_kt
2025-10-21 06:00:00,14.0,-70.0,40
2025-10-21 09:00:00,14.0,-70.7,43
2025-10-21 12:00:00,14.0,-71.4,45
2025-10-21 15:00:00,14.0,-71.9,45
2025-10-21 18:00:00,14.0,-72.4,45
2025-10-21 21:00:00,14.0,-72.9,45
2025-10-22 00:00:00,14.1,-73.3,45
2025-10-22 03:00:00,14.1,-73.5,45
2025-10-22 06:00:00,14.2,-73.5,45
2025-10-22 09:00:00,14.3,-73.6,45
2025-10-22 12:00:00,14.3,-73.7,45
2025-10-22 15:00:00,14.3,-73.9,45
2025-10-22 18:00:00,14.3,-74.1,45
2025-10-22 21:00:00,14.3,-74.3,45
2025-10-23 00:00:00,14.3,-74.5,45
2025-10-23 03:00:00,14.5,-74.7,43
2025-10-23 06:00:00,14.7,-74.8,40
2025-10-23 09:00:00,15.0,-74.9,40
2025-10-23 12:00:00,15.2,-75.0,40
2025-10-23 15:00:00,15.4,-75.2,40
2025-10-23 18:00:00,15.5,-75.3,40
2025-10-23 21:00:00,15.6,-75.4,40
2025-10-24 00:00:00,15.7,-75.5,40
2025-10-24 03:00:00,15.8,-75.4,40
2025-10-24 06:00:00,15.8,-75.3,40
2025-10-24 09:00:00,15.9,-75.2,43
2025-10-24 12:00:00,15.9,-75.1,45
2025-10-24 15:00:00,15.9,-74.9,48
2025-10-24 18:00:00,15.9,-74.8,50
2025-10-24 21:00:00,16.0,-74.7,53
2025-10-25 00:00:00,16.1,-74.7,55
2025-10-25 03:00:00,16.2,-74.7,58
2025-10-25 06:00:00,16.3,-74.7,60
2025-10-25 09:00:00,16.4,-74.8,60
2025-10-25 12:00:00,16.4,-74.9,60
2025-10-25 15:00:00,16.4,-75.1,68
2025-10-25 18:00:00,16.4,-75.3,75
2025-10-25 21:00:00,16.4,-75.5,83
2025-10-26 00:00:00,16.4,-75.7,90
2025-10-26 03:00:00,16.3,-75.9,98
2025-10-26 06:00:00,16.3,-76.0,105
2025-10-26 09:00:00,16.3,-76.2,110
2025-10-26 12:00:00,16.3,-76.4,115
2025-10-26 15:00:00,16.3,-76.7,118
2025-10-26 18:00:00,16.3,-76.9,120
2025-10-26 21:00:00,16.3,-77.1,123
2025-10-27 00:00:00,16.3,-77.3,125
2025-10-27 03:00:00,16.3,-77.5,130
2025-10-27 06:00:00,16.3,-77.7,135
2025-10-27 09:00:00,16.3,-77.9,140
2025-10-27 12:00:00,16.3,-78.0,145
2025-10-27 15:00:00,16.3,-78.1,150
2025-10-27 18:00:00,16.4,-78.3,155
2025-10-27 21:00:00,16.4,-78.5,155
2025-10-28 00:00:00,16.5,-78.6,155
2025-10-28 03:00:00,16.7,-78.5,155
2025-10-28 06:00:00,16.9,-78.4,155
2025-10-28 09:00:00,17.2,-78.2,160
2025-10-28 12:00:00,17.5,-78.1,165
2025-10-28 15:00:00,17.8,-78.0,162
2025-10-28 17:25:00,18.1,-78.0,160
2025-10-28 18:00:00,18.2,-78.0,145
2025-10-28 21:00:00,18.5,-77.7,125
2025-10-29 00:00:00,18.8,-77.1,105
2025-10-29 03:00:00,19.2,-76.8,105
2025-10-29 06:00:00,19.7,-76.4,105
2025-10-29 07:20:00,20.0,-76.2,100
2025-10-29 09:00:00,20.3,-76.0,95
2025-10-29 12:00:00,20.9,-75.8,85
2025-10-29 15:00:00,21.5,-75.6,83
2025-10-29 18:00:00,22.1,-75.4,80
2025-10-29 21:00:00,22.8,-75.1,80
2025-10-29 22:15:00,23.1,-75.0,80
2025-10-30 00:00:00,23.5,-74.8,80
2025-10-30 02:00:00,24.0,-74.5,80
2025-10-30 03:00:00,24.2,-74.3,81
2025-10-30 06:00:00,25.0,-73.8,85
2025-10-30 09:00:00,25.8,-73.3,88
2025-10-30 12:00:00,26.7,-72.7,90
2025-10-30 15:00:00,27.7,-71.9,88
2025-10-30 18:00:00,28.9,-70.9,85
2025-10-30 21:00:00,30.0,-69.9,83
2025-10-31 00:00:00,31.3,-68.7,80
2025-10-31 03:00:00,32.8,-67.2,78
2025-10-31 06:00:00,34.5,-65.5,75
2025-10-31 09:00:00,36.1,-63.8,75
2025-10-31 12:00:00,37.7,-62.1,75
2025-10-31 15:00:00,39.2,-60.5,73
2025-10-31 18:00:00,40.6,-58.9,70
2025-10-31 21:00:00,42.1,-57.5,70
2025-11-01 00:00:00,43.7,-56.0,70
2025-11-01 03:00:00,45.2,-53.9,68
2025-11-01 06:00:00,46.6,-51.3,65
